renderer,slot,material,path,shader,baseTexture,baseColor,color,isWhiteNoTexture,isTextureAssigned
"Blender Indoor Scene/对象046",0,"Material #82_24296_lilToon","Assets/SceneExport/MaterialsLilToon/Material #82_24296_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/042_QQ图片20210220170413_e9669fb64f.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象047",0,"Material #36_23784_lilToon","Assets/SceneExport/MaterialsLilToon/Material #36_23784_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/051_贴图 _12_e4c1c2a8a8.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象048",0,"Material #37_23960_lilToon","Assets/SceneExport/MaterialsLilToon/Material #37_23960_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/052_贴图 _13_18ce5e7c89.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象049",0,"材质.005_23728_lilToon","Assets/SceneExport/MaterialsLilToon/材质.005_23728_lilToon.mat","Universal Render Pipeline/Lit","","0.077 0.075 0.112 1.000","0.077 0.075 0.112 1.000",False,False
"Blender Indoor Scene/对象050",0,"金属黑.002_23920_lilToon","Assets/SceneExport/MaterialsLilToon/金属黑.002_23920_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.045 0.070 1.000","0.050 0.045 0.070 1.000",False,False
"Blender Indoor Scene/对象051",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/对象060",0,"Shiny_white_24026_lilToon","Assets/SceneExport/MaterialsLilToon/Shiny_white_24026_lilToon.mat","Universal Render Pipeline/Lit","","1.000 1.000 1.000 1.000","1.000 1.000 1.000 1.000",True,False
"Blender Indoor Scene/对象060",1,"黑缝隙_24028_lilToon","Assets/SceneExport/MaterialsLilToon/黑缝隙_24028_lilToon.mat","Universal Render Pipeline/Lit","","0.000 0.000 0.000 1.000","0.000 0.000 0.000 1.000",False,False
"Blender Indoor Scene/对象060",2,"金属黑.002_23920_lilToon","Assets/SceneExport/MaterialsLilToon/金属黑.002_23920_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.045 0.070 1.000","0.050 0.045 0.070 1.000",False,False
"Blender Indoor Scene/对象064",0,"金属黑.002_23920_lilToon","Assets/SceneExport/MaterialsLilToon/金属黑.002_23920_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.045 0.070 1.000","0.050 0.045 0.070 1.000",False,False
